product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
T&S,India,WIPRO LIMITED,APAC,2025-04-28,3,3,0,0,0
Corp Eng,India,VIRTUSA CORPORATION,APAC,2025-04-28,6,2,4,0,4
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-28,2,2,0,0,0
YouTube,Portugal,TELEPERFORMANCE SE,EMEA,2025-04-29,8,2,6,2,4
REWS,null,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,THE WHITING TURNER CONTRACTING COMPANY,NORTH AMERICA,2025-04-29,5,3,2,0,2
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,2,4,0,4
Technical Infrastructure,null,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,2025-04-28,3,3,0,0,0
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-28,4,3,1,0,1
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-28,1,1,0,0,0
REWS,India,CONVERGINT TECHNOLOGIES GROUP L.P.,APAC,2025-05-01,3,3,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,2,2,0,0,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-29,2,2,0,0,0
REWS,United States,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,2025-05-02,6,3,3,3,0
gCS,United States,"MINDLANCE, INC.",NORTH AMERICA,2025-04-30,9,3,6,3,3
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-29,3,2,1,1,0
Access,United States,"GARY D. NELSON ASSOCIATES, INC.",NORTH AMERICA,2025-04-30,7,4,3,0,3
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,3,2,1,1,0
Technical Infrastructure,United States,VISION TECHNOLOGIES INC.,NORTH AMERICA,2025-04-29,3,3,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-02,7,4,3,2,1
Technical Infrastructure,Thailand,WOOD INTERNATIONAL LIMITED,APAC,2025-04-28,3,1,2,0,2
Technical Infrastructure,United States,FORTIS CONSTRUCTION INC,NORTH AMERICA,2025-04-29,11,3,8,0,8
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-28,8,3,5,4,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-29,5,2,3,3,0
REWS,null,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Devices & Services,India,EXIMIETAS DESIGN LLC,APAC,2025-04-28,2,2,0,0,0
gTech,United States,VACO,NORTH AMERICA,2025-04-29,4,4,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-29,2,1,1,0,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-28,5,5,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-05-02,4,3,1,0,1
Technical Infrastructure,Ireland,GERTEK PROJECT MANAGEMENT AND TECHNICAL SERVICES LIMITED,EMEA,2025-05-02,14,3,11,3,8
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,1,10,1,9
YouTube,India,WIPRO LIMITED,APAC,2025-05-01,13,7,6,5,1
Cloud,United States,NETAPP INC,NORTH AMERICA,2025-05-02,17,5,12,2,10
Global Affairs (w/o T&S),United States,"CONSILIO, INC",NORTH AMERICA,2025-04-30,9,2,7,0,7
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,Chile,GXO LOGISTICS WORLDWIDE LLC,LATAM,2025-04-30,6,4,2,0,2
REWS,Israel,YARZIN SELLA MANAGEMENT AND HOLDINGS,EMEA,2025-05-02,3,3,0,0,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-28,6,3,3,0,3
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-29,4,4,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,2,3,2,1
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-29,4,3,1,0,1
Cloud,India,INFOSYS,APAC,2025-04-28,7,2,5,0,5
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Technical Infrastructure,Singapore,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,APAC,2025-04-30,1,1,0,0,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-29,7,3,4,0,4
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,ALPHA SERVICES CORPORATION,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-28,6,2,4,3,1
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-29,2,2,0,0,0
Access,Poland,EPAM SYSTEMS INC,EMEA,2025-04-29,2,2,0,0,0
T&S,Portugal,MAJOREL GLOBAL,EMEA,2025-04-29,6,2,4,3,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
POps,Taiwan,FAR EASTERN MEMORIAL HOSPITAL,APAC,2025-04-30,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,3,1,1,0
Devices & Services,India,INFOSYS,APAC,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,3,1,0,1
Technical Infrastructure,null,INDIGO TELECOM GROUP LTD,EMEA,2025-05-01,3,3,0,0,0
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,4,3,1,1,0
gTech,Mexico,QUALITEST,LATAM,2025-04-30,7,3,4,0,4
Global Affairs (w/o T&S),United States,VACO,NORTH AMERICA,2025-04-29,4,3,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,2,1,0,1
Cloud,Philippines,HCL TECHNOLOGIES LTD,APAC,2025-04-30,10,2,8,0,8
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-28,6,3,3,0,3
YouTube,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-30,4,4,0,0,0
Technical Infrastructure,Taiwan,TATA GROUP,APAC,2025-04-30,3,3,0,0,0
REWS,United States,MC DEAN INC,NORTH AMERICA,2025-04-28,8,2,6,0,6
gTech,Brazil,HCL TECHNOLOGIES LTD,LATAM,2025-04-30,9,3,6,1,5
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,0,2
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-28,9,1,8,0,8
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-29,5,4,1,0,1
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-05-02,12,2,10,1,9
